UID	Locale	Translation
ES	es	España
ES	ca	Espanya
ES	eu	Espainia
ES	ga	España
ES	en	Spain
ES-AN	es	Andalucía
ES-AN	ca	Andalucía
ES-AN	eu	Andalucía
ES-AN	ga	Andalucía
ES-AN	en	Andalusia
ES-AN-AL	es	Almería
ES-AN-AL	ca	Almería
ES-AN-AL	eu	Almería
ES-AN-AL	ga	Almería
ES-AN-AL	en	Almería
ES-AN-CA	es	Cádiz
ES-AN-CA	ca	Cádiz
ES-AN-CA	eu	Cádiz
ES-AN-CA	ga	Cádiz
ES-AN-CA	en	Cádiz
ES-AN-CO	es	Córdoba
ES-AN-CO	ca	Córdoba
ES-AN-CO	eu	Córdoba
ES-AN-CO	ga	Córdoba
ES-AN-CO	en	Córdoba
ES-AN-GR	es	Granada
ES-AN-GR	ca	Granada
ES-AN-GR	eu	Granada
ES-AN-GR	ga	Granada
ES-AN-GR	en	Granada
ES-AN-H	es	Huelva
ES-AN-H	ca	Huelva
ES-AN-H	eu	Huelva
ES-AN-H	ga	Huelva
ES-AN-H	en	Huelva
ES-AN-J	es	Jaén
ES-AN-J	ca	Jaén
ES-AN-J	eu	Jaén
ES-AN-J	ga	Jaén
ES-AN-J	en	Jaén
ES-AN-MA	es	Málaga
ES-AN-MA	ca	Málaga
ES-AN-MA	eu	Málaga
ES-AN-MA	ga	Málaga
ES-AN-MA	en	Málaga
ES-AN-SE	es	Sevilla
ES-AN-SE	ca	Sevilla
ES-AN-SE	eu	Sevilla
ES-AN-SE	ga	Sevilla
ES-AN-SE	en	Sevilla
ES-AR	es	Aragón
ES-AR	ca	Aragón
ES-AR	eu	Aragón
ES-AR	ga	Aragón
ES-AR	en	Aragon
ES-AR-HU	es	Huesca
ES-AR-HU	ca	Huesca
ES-AR-HU	eu	Huesca
ES-AR-HU	ga	Huesca
ES-AR-HU	en	Huesca
ES-AR-TE	es	Teruel
ES-AR-TE	ca	Teruel
ES-AR-TE	eu	Teruel
ES-AR-TE	ga	Teruel
ES-AR-TE	en	Teruel
ES-AR-Z	es	Zaragoza
ES-AR-Z	ca	Zaragoza
ES-AR-Z	eu	Zaragoza
ES-AR-Z	ga	Zaragoza
ES-AR-Z	en	Zaragoza
ES-AS	es	Asturias
ES-AS	ca	Asturias
ES-AS	eu	Asturias
ES-AS	ga	Asturias
ES-AS	en	Asturias
ES-AS-O	es	Asturias
ES-AS-O	ca	Asturias
ES-AS-O	eu	Asturias
ES-AS-O	ga	Asturias
ES-AS-O	en	Asturias
ES-CB	es	Cantabria
ES-CB	ca	Cantabria
ES-CB	eu	Cantabria
ES-CB	ga	Cantabria
ES-CB	en	Cantabria
ES-CB-S	es	Cantabria
